"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:28:30.2886250 PM","svchost.exe","972","RegCloseKey","HKLM\SOFTWARE\Microsoft\COM3","SUCCESS",""
"10:28:30.2887317 PM","svchost.exe","972","RegOpenKey","HKLM\Software\Microsoft\COM3","SUCCESS","Desired Access: Read"
"10:28:30.2887552 PM","svchost.exe","972","RegQueryValue","HKLM\SOFTWARE\Microsoft\COM3\REGDBVersion","SUCCESS","Type: REG_BINARY, Length: 8, Data: 07 00 00 00 00 00 00 00"
"10:28:30.2887882 PM","svchost.exe","972","RegCloseKey","HKLM\SOFTWARE\Microsoft\COM3","SUCCESS",""
"10:28:30.2888113 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2888471 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
"10:28:30.2888692 PM","svchost.exe","972","RegOpenKey","HKCR","SUCCESS","Desired Access: Read"
"10:28:30.2889052 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2889172 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2889399 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2889678 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2889854 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2890030 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2890203 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2890379 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2890586 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2890759 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2891100 PM","svchost.exe","972","RegQueryValue","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\AppID","SUCCESS","Type: REG_SZ, Length: 78, Data: {8BC3F05E-D86B-11D0-A075-00C04FB68820}"
"10:28:30.2891474 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2891592 PM","svchost.exe","972","RegOpenKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2891879 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\DllSurrogate","NAME NOT FOUND","Length: 144"
"10:28:30.2892050 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalService","SUCCESS","Type: REG_SZ, Length: 16, Data: winmgmt"
"10:28:30.2892379 PM","svchost.exe","972","RegCloseKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2892639 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2892768 PM","svchost.exe","972","RegOpenKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2893005 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: Windows Management and Instrumentation"
"10:28:30.2893195 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalService","SUCCESS","Type: REG_SZ, Length: 16, Data: winmgmt"
"10:28:30.2893374 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\ServiceParameters","NAME NOT FOUND","Length: 144"
"10:28:30.2893542 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\RunAs","NAME NOT FOUND","Length: 144"
"10:28:30.2893704 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\ActivateAtStorage","NAME NOT FOUND","Length: 144"
"10:28:30.2893935 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LaunchPermission","BUFFER OVERFLOW","Length: 144"
"10:28:30.2894111 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LaunchPermission","BUFFER OVERFLOW","Length: 144"
"10:28:30.2894279 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LaunchPermission","SUCCESS","Type: REG_BINARY, Length: 180, Data: 01 00 04 80 94 00 00 00 A4 00 00 00 00 00 00 00"
"10:28:30.2894539 PM","svchost.exe","972","RegOpenKey","HKLM\Software\Microsoft\OLE","SUCCESS","Desired Access: Maximum Allowed"
"10:28:30.2894774 PM","svchost.exe","972","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\LegacyAuthenticationLevel","NAME NOT FOUND","Length: 144"
"10:28:30.2894941 PM","svchost.exe","972","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\LegacyImpersonationLevel","NAME NOT FOUND","Length: 144"
"10:28:30.2897766 PM","svchost.exe","972","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"10:28:30.2897900 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\AuthenticationLevel","NAME NOT FOUND","Length: 144"
"10:28:30.2898076 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\RemoteServerName","NAME NOT FOUND","Length: 144"
"10:28:30.2898243 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\SRPTrustLevel","NAME NOT FOUND","Length: 144"
"10:28:30.2898620 PM","svchost.exe","972","RegCloseKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2898754 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2899003 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocHandler32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2899185 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocHandlerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2899509 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2900006 PM","svchost.exe","972","RegOpenKey","HKLM\Software\Microsoft\COM3","SUCCESS","Desired Access: Read"
"10:28:30.2900232 PM","svchost.exe","972","RegQueryValue","HKLM\SOFTWARE\Microsoft\COM3\REGDBVersion","SUCCESS","Type: REG_BINARY, Length: 8, Data: 07 00 00 00 00 00 00 00"
"10:28:30.2900556 PM","svchost.exe","972","RegCloseKey","HKLM\SOFTWARE\Microsoft\COM3","SUCCESS",""
"10:28:30.2900797 PM","svchost.exe","972","RegOpenKey","HKLM\Software\Microsoft\COM3","SUCCESS","Desired Access: Read"
"10:28:30.2901020 PM","svchost.exe","972","RegQueryValue","HKLM\SOFTWARE\Microsoft\COM3\REGDBVersion","SUCCESS","Type: REG_BINARY, Length: 8, Data: 07 00 00 00 00 00 00 00"
"10:28:30.2901339 PM","svchost.exe","972","RegCloseKey","HKLM\SOFTWARE\Microsoft\COM3","SUCCESS",""
"10:28:30.2901604 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes","SUCCESS","Desired Access: Read"
"10:28:30.2901970 PM","svchost.exe","972","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:28:30.2902199 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Read"
"10:28:30.2902375 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2902615 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2902895 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
"10:28:30.2903107 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
"10:28:30.2903283 PM","svchost.exe","972","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:28:30.2903453 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes","SUCCESS","Desired Access: Read"
"10:28:30.2903814 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2903942 PM","svchost.exe","972","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:28:30.2904185 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Read"
"10:28:30.2904350 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2904618 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2904906 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2905124 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2905303 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2905582 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2905792 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2905987 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2906334 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2906546 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2906739 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2907018 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2907225 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2907404 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2907680 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2907887 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServerX86","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2908141 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2908421 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2908633 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2908809 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2909085 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2909287 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalServer","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2909465 PM","svchost.exe","972","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:28:30.2909639 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Read"
"10:28:30.2909801 PM","svchost.exe","972","RegOpenKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2910111 PM","svchost.exe","972","RegQueryKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2910384 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2910586 PM","svchost.exe","972","RegQueryValue","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\AppID","SUCCESS","Type: REG_SZ, Length: 78, Data: {8BC3F05E-D86B-11D0-A075-00C04FB68820}"
"10:28:30.2912600 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2912731 PM","svchost.exe","972","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:28:30.2912910 PM","svchost.exe","972","RegOpenKey","HKCU\Software\Classes\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Read"
"10:28:30.2913080 PM","svchost.exe","972","RegOpenKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Desired Access: Read"
"10:28:30.2913326 PM","svchost.exe","972","RegQueryKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2913606 PM","svchost.exe","972","RegOpenKey","HKU\S-1-5-20_Classes\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2913882 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\DllSurrogate","NAME NOT FOUND","Length: 144"
"10:28:30.2914050 PM","svchost.exe","972","RegQueryKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS","Query: Name"
"10:28:30.2914315 PM","svchost.exe","972","RegOpenKey","HKU\S-1-5-20_Classes\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:28:30.2914508 PM","svchost.exe","972","RegQueryValue","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\LocalService","SUCCESS","Type: REG_SZ, Length: 16, Data: winmgmt"
"10:28:30.2914832 PM","svchost.exe","972","RegCloseKey","HKCR\AppID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2915103 PM","svchost.exe","972","RegCloseKey","HKCR\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}","SUCCESS",""
"10:28:30.2915240 PM","svchost.exe","972","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
